timestamp,demand_mw,source
2026-06-23 23:00:00,19104.0,api
2026-06-24 10:00:00,17247.0,api
2026-06-24 10:30:00,17335.0,api
2026-06-24 10:45:00,17605.0,api
2026-06-24 11:00:00,17643.0,api
2026-06-24 11:15:00,17567.0,api
2026-06-24 11:30:00,17535.0,api
2026-06-24 11:45:00,17331.0,api
2026-06-24 12:00:00,17116.0,api
2026-06-24 12:15:00,17164.0,api
2026-06-24 12:30:00,17117.0,api
2026-06-24 12:45:00,17182.0,api
2026-06-24 13:00:00,16742.0,api
2026-06-24 13:15:00,16999.0,api
2026-06-24 14:15:00,17512.0,api
2026-06-24 14:30:00,17798.0,api
2026-06-30 11:45:00,17795.0,api
2026-06-30 12:15:00,17952.0,api
2026-06-30 12:30:00,17814.0,api
2026-06-30 12:45:00,17762.0,api
2026-06-30 13:00:00,17782.0,api
2026-06-30 13:30:00,17373.0,api
2026-06-30 13:45:00,17640.0,api
2026-06-30 14:00:00,17906.0,api
2026-07-07 18:15:00,20234.0,api
2026-07-07 18:30:00,20211.0,api
2026-07-07 18:30:00+05:30,20211.0,api
