timestamp,demand_mw,source
2026-06-23 22:30:00,112.0,api
2026-06-23 22:45:00,111.0,api
2026-06-24 10:00:00,113.0,api
2026-06-24 10:15:00,106.0,api
2026-06-24 10:30:00,111.0,api
2026-06-24 10:45:00,95.0,api
2026-06-24 11:00:00,100.0,api
2026-06-24 11:15:00,110.0,api
2026-06-24 11:30:00,114.0,api
2026-06-24 11:45:00,109.0,api
2026-06-24 12:00:00,97.0,api
2026-06-24 12:15:00,101.0,api
2026-06-24 12:30:00,115.0,api
2026-06-24 12:45:00,116.0,api
2026-06-24 13:00:00,114.0,api
2026-06-24 13:15:00,115.0,api
2026-06-24 14:15:00,131.0,api
2026-06-24 14:30:00,132.0,api
2026-06-24 14:45:00,136.0,api
2026-06-30 11:45:00,126.0,api
2026-06-30 12:15:00,121.0,api
2026-06-30 12:30:00,116.0,api
2026-06-30 12:45:00,119.0,api
2026-06-30 13:00:00,130.0,api
2026-06-30 13:30:00,136.0,api
2026-06-30 13:45:00,131.0,api
2026-06-30 14:00:00,128.0,api
2026-07-07 18:15:00,188.0,api
2026-07-07 18:30:00,191.0,api
2026-07-07 18:30:00+05:30,191.0,api
