timestamp,demand_mw,source
2026-06-23 23:00:00,142.0,api
2026-06-24 10:00:00,151.0,api
2026-06-24 10:15:00,146.0,api
2026-06-24 10:30:00,146.0,api
2026-06-24 10:45:00,151.0,api
2026-06-24 11:00:00,147.0,api
2026-06-24 11:15:00,156.0,api
2026-06-24 11:30:00,150.0,api
2026-06-24 11:45:00,151.0,api
2026-06-24 12:00:00,145.0,api
2026-06-24 12:15:00,142.0,api
2026-06-24 12:30:00,144.0,api
2026-06-24 12:45:00,145.0,api
2026-06-24 13:00:00,150.0,api
2026-06-24 13:15:00,153.0,api
2026-06-24 14:15:00,139.0,api
2026-06-24 14:30:00,148.0,api
2026-06-24 14:45:00,146.0,api
2026-06-30 11:45:00,143.0,api
2026-06-30 12:15:00,146.0,api
2026-06-30 12:30:00,141.0,api
2026-06-30 12:45:00,149.0,api
2026-06-30 13:15:00,144.0,api
2026-06-30 13:30:00,143.0,api
2026-06-30 13:45:00,146.0,api
2026-07-02 12:00:00,180.0,api
2026-07-07 18:15:00,184.0,api
2026-07-07 18:30:00,190.0,db
