timestamp,demand_mw,source
2026-06-23 22:30:00,8524.0,api
2026-06-23 22:45:00,8546.0,api
2026-06-24 10:00:00,7177.0,api
2026-06-24 10:30:00,7262.0,api
2026-06-24 10:45:00,7339.0,api
2026-06-24 11:00:00,7319.0,api
2026-06-24 11:15:00,7330.0,api
2026-06-24 11:30:00,7290.0,api
2026-06-24 11:45:00,7476.0,api
2026-06-24 12:00:00,7510.0,api
2026-06-24 12:15:00,7587.0,api
2026-06-24 12:30:00,7597.0,api
2026-06-24 12:45:00,7704.0,api
2026-06-24 13:00:00,7813.0,api
2026-06-24 13:15:00,7848.0,api
2026-06-24 14:15:00,7951.0,api
2026-06-24 14:30:00,8030.0,api
2026-06-24 14:45:00,8017.0,api
2026-06-30 11:45:00,5904.0,api
2026-06-30 12:15:00,6002.0,api
2026-06-30 12:30:00,6002.0,api
2026-06-30 12:45:00,6080.0,api
2026-06-30 13:15:00,6121.0,api
2026-06-30 13:30:00,6081.0,api
2026-06-30 13:45:00,6136.0,api
2026-07-07 18:15:00,6778.0,api
2026-07-07 18:30:00,6923.0,db
