timestamp,demand_mw,source
2026-06-23 22:45:00,45.0,api
2026-06-24 10:00:00,58.0,api
2026-06-24 10:30:00,59.0,api
2026-06-24 10:45:00,64.0,api
2026-06-24 11:00:00,65.0,api
2026-06-24 11:15:00,67.0,api
2026-06-24 11:30:00,66.0,api
2026-06-24 11:45:00,66.0,api
2026-06-24 12:00:00,65.0,api
2026-06-24 12:15:00,63.0,api
2026-06-24 12:30:00,62.0,api
2026-06-24 12:45:00,60.0,api
2026-06-24 13:00:00,58.0,api
2026-06-24 13:15:00,59.0,api
2026-06-24 14:15:00,60.0,api
2026-06-24 14:30:00,59.0,api
2026-06-30 11:45:00,77.0,api
2026-06-30 12:15:00,81.0,api
2026-06-30 12:30:00,76.0,api
2026-06-30 12:45:00,77.0,api
2026-06-30 13:00:00,72.0,api
2026-06-30 13:30:00,70.0,api
2026-06-30 13:45:00,69.0,api
2026-06-30 14:00:00,71.0,api
2026-07-07 18:15:00,87.0,api
2026-07-07 18:30:00,90.0,api
2026-07-07 18:30:00+05:30,90.0,api
