timestamp,demand_mw,source
2026-06-23 22:45:00,323.0,api
2026-06-24 10:00:00,260.0,api
2026-06-24 10:30:00,251.0,api
2026-06-24 10:45:00,243.0,api
2026-06-24 11:00:00,241.0,api
2026-06-24 11:15:00,253.0,api
2026-06-24 11:30:00,254.0,api
2026-06-24 11:45:00,256.0,api
2026-06-24 12:00:00,257.0,api
2026-06-24 12:15:00,262.0,api
2026-06-24 12:30:00,271.0,api
2026-06-24 12:45:00,268.0,api
2026-06-24 13:00:00,261.0,api
2026-06-24 13:15:00,270.0,api
2026-06-24 14:15:00,283.0,api
2026-06-24 14:30:00,280.0,api
2026-06-30 11:45:00,284.0,api
2026-06-30 12:15:00,280.0,api
2026-06-30 12:30:00,280.0,api
2026-06-30 12:45:00,281.0,api
2026-06-30 13:00:00,309.0,api
2026-06-30 13:30:00,303.0,api
2026-06-30 13:45:00,305.0,api
2026-06-30 14:00:00,303.0,api
2026-07-07 18:15:00,279.0,api
2026-07-07 18:30:00,283.0,api
2026-07-07 18:30:00+05:30,283.0,api
