timestamp,demand_mw,source
2026-06-24 12:15:00,424.0,api
2026-06-24 12:30:00,416.0,api
2026-06-24 12:45:00,409.0,api
2026-06-24 13:00:00,408.0,api
2026-06-24 13:15:00,402.0,api
2026-06-24 14:15:00,421.0,api
2026-06-24 14:30:00,425.0,api
2026-06-24 14:45:00,425.0,api
2026-06-30 12:15:00,416.0,api
2026-06-30 12:30:00,403.0,api
2026-06-30 12:45:00,421.0,api
2026-06-30 13:00:00,412.0,api
2026-06-30 13:30:00,420.0,api
2026-06-30 13:45:00,430.0,api
2026-06-30 14:00:00,442.0,api
2026-07-07 18:15:00,521.0,api
2026-07-07 18:30:00,511.0,api
2026-07-07 18:30:00+05:30,511.0,api
