timestamp,demand_mw,source
2026-06-17 15:30:00,657.0,api
2026-06-17 15:45:00,672.0,api
2026-06-17 16:00:00,678.0,api
2026-06-17 16:15:00,678.0,api
2026-06-17 16:30:00,669.0,api
2026-06-17 16:45:00,652.0,api
2026-06-17 17:00:00,659.0,api
2026-06-17 21:00:00,700.0,api
2026-06-17 21:15:00,697.0,api
2026-06-17 21:30:00,698.0,api
2026-06-17 21:45:00,700.0,api
2026-06-17 22:00:00,700.0,api
2026-06-17 22:15:00,703.0,api
2026-06-17 22:30:00,703.0,api
2026-06-17 22:45:00,703.0,api
2026-06-17 23:00:00,689.0,api
2026-06-17 23:15:00,686.0,api
2026-06-17 23:30:00,684.0,api
2026-06-18 00:00:00,660.0,api
2026-06-18 00:15:00,656.0,api
2026-06-18 00:30:00,660.0,api
2026-06-18 00:45:00,642.0,api
2026-06-18 01:00:00,647.0,api
2026-06-18 01:15:00,630.0,api
2026-06-18 01:30:00,628.0,api
2026-06-18 10:00:00,650.0,api
2026-06-18 10:15:00,662.0,api
2026-06-18 10:30:00,652.0,api
2026-06-18 10:45:00,662.0,api
2026-06-18 11:00:00,661.0,api
2026-06-18 11:15:00,649.0,api
2026-06-18 11:30:00,660.0,api
2026-06-18 11:45:00,653.0,api
2026-06-18 12:00:00,654.0,api
2026-06-18 12:15:00,643.0,api
2026-06-18 12:30:00,656.0,api
2026-06-18 12:45:00,637.0,api
2026-06-18 13:30:00,623.0,api
2026-06-18 13:45:00,632.0,api
2026-06-18 14:00:00,640.0,api
2026-06-18 14:15:00,654.0,api
2026-06-18 14:30:00,666.0,api
2026-06-22 09:45:00,666.0,api
2026-06-22 10:00:00,677.0,api
2026-06-22 10:15:00,680.0,api
2026-06-22 10:30:00,680.0,api
2026-06-22 10:45:00,680.0,api
2026-06-22 11:00:00,680.0,api
2026-06-23 22:30:00,547.0,api
2026-06-23 22:45:00,542.0,api
2026-06-24 10:00:00,605.0,api
2026-06-24 10:30:00,594.0,api
2026-06-24 10:45:00,610.0,api
2026-06-24 11:00:00,614.0,api
2026-06-24 11:15:00,615.0,api
2026-06-24 11:30:00,606.0,api
2026-06-24 11:45:00,611.0,api
2026-06-24 12:00:00,603.0,api
2026-06-24 12:15:00,598.0,api
2026-06-24 12:30:00,596.0,api
2026-06-24 12:45:00,587.0,api
2026-06-24 13:00:00,570.0,api
2026-06-24 13:15:00,580.0,api
2026-06-24 14:15:00,590.0,api
2026-06-24 14:30:00,588.0,api
2026-06-24 14:45:00,586.0,api
2026-06-30 11:45:00,560.0,api
2026-06-30 12:15:00,557.0,api
2026-06-30 12:30:00,556.0,api
2026-06-30 12:45:00,553.0,api
2026-06-30 13:15:00,554.0,api
2026-06-30 13:30:00,555.0,api
2026-06-30 13:45:00,558.0,api
2026-07-02 12:00:00,570.0,api
2026-07-07 18:15:00,567.0,api
2026-07-07 18:30:00,572.0,db
