datetime,temp_weighted,month,holiday,is_weekend,hour,minute
2024-01-02 00:00:00,7.6404,1,0,0,0,0
2024-01-02 00:15:00,7.528874999999999,1,0,0,0,15
2024-01-02 00:30:00,7.41735,1,0,0,0,30
2024-01-02 00:45:00,7.3058250000000005,1,0,0,0,45
2024-01-02 01:00:00,7.1943,1,0,0,1,0
2024-01-02 01:15:00,7.078325,1,0,0,1,15
2024-01-02 01:30:00,6.962350000000001,1,0,0,1,30
2024-01-02 01:45:00,6.846375,1,0,0,1,45
2024-01-02 02:00:00,6.7304,1,0,0,2,0
2024-01-02 02:15:00,6.5391,1,0,0,2,15
2024-01-02 02:30:00,6.3478,1,0,0,2,30
2024-01-02 02:45:00,6.1565,1,0,0,2,45
2024-01-02 03:00:00,5.9652,1,0,0,3,0
2024-01-02 03:15:00,5.818875,1,0,0,3,15
2024-01-02 03:30:00,5.67255,1,0,0,3,30
2024-01-02 03:45:00,5.526225,1,0,0,3,45
2024-01-02 04:00:00,5.3799,1,0,0,4,0
2024-01-02 04:15:00,5.400875,1,0,0,4,15
2024-01-02 04:30:00,5.42185,1,0,0,4,30
2024-01-02 04:45:00,5.442825,1,0,0,4,45
2024-01-02 05:00:00,5.4638,1,0,0,5,0
2024-01-02 05:15:00,5.762875,1,0,0,5,15
2024-01-02 05:30:00,6.0619499999999995,1,0,0,5,30
2024-01-02 05:45:00,6.361025,1,0,0,5,45
2024-01-02 06:00:00,6.6601,1,0,0,6,0
2024-01-02 06:15:00,6.82655,1,0,0,6,15
2024-01-02 06:30:00,6.993,1,0,0,6,30
2024-01-02 06:45:00,7.15945,1,0,0,6,45
2024-01-02 07:00:00,7.3259,1,0,0,7,0
2024-01-02 07:15:00,7.713175,1,0,0,7,15
2024-01-02 07:30:00,8.10045,1,0,0,7,30
2024-01-02 07:45:00,8.487725,1,0,0,7,45
2024-01-02 08:00:00,8.875,1,0,0,8,0
2024-01-02 08:15:00,9.399799999999999,1,0,0,8,15
2024-01-02 08:30:00,9.9246,1,0,0,8,30
2024-01-02 08:45:00,10.4494,1,0,0,8,45
2024-01-02 09:00:00,10.9742,1,0,0,9,0
2024-01-02 09:15:00,11.400425,1,0,0,9,15
2024-01-02 09:30:00,11.82665,1,0,0,9,30
2024-01-02 09:45:00,12.252875,1,0,0,9,45
2024-01-02 10:00:00,12.6791,1,0,0,10,0
2024-01-02 10:15:00,13.03645,1,0,0,10,15
2024-01-02 10:30:00,13.393799999999999,1,0,0,10,30
2024-01-02 10:45:00,13.751149999999999,1,0,0,10,45
2024-01-02 11:00:00,14.1085,1,0,0,11,0
2024-01-02 11:15:00,14.4414,1,0,0,11,15
2024-01-02 11:30:00,14.7743,1,0,0,11,30
2024-01-02 11:45:00,15.107199999999999,1,0,0,11,45
2024-01-02 12:00:00,15.4401,1,0,0,12,0
2024-01-02 12:15:00,15.6653,1,0,0,12,15
2024-01-02 12:30:00,15.8905,1,0,0,12,30
2024-01-02 12:45:00,16.1157,1,0,0,12,45
2024-01-02 13:00:00,16.3409,1,0,0,13,0
2024-01-02 13:15:00,16.454375000000002,1,0,0,13,15
2024-01-02 13:30:00,16.56785,1,0,0,13,30
2024-01-02 13:45:00,16.681325,1,0,0,13,45
2024-01-02 14:00:00,16.794800000000002,1,0,0,14,0
2024-01-02 14:15:00,16.8148,1,0,0,14,15
2024-01-02 14:30:00,16.8348,1,0,0,14,30
2024-01-02 14:45:00,16.8548,1,0,0,14,45
2024-01-02 15:00:00,16.8748,1,0,0,15,0
2024-01-02 15:15:00,16.733975,1,0,0,15,15
2024-01-02 15:30:00,16.59315,1,0,0,15,30
2024-01-02 15:45:00,16.452325000000002,1,0,0,15,45
2024-01-02 16:00:00,16.311500000000002,1,0,0,16,0
2024-01-02 16:15:00,15.627800000000002,1,0,0,16,15
2024-01-02 16:30:00,14.944100000000002,1,0,0,16,30
2024-01-02 16:45:00,14.2604,1,0,0,16,45
2024-01-02 17:00:00,13.5767,1,0,0,17,0
2024-01-02 17:15:00,12.812025,1,0,0,17,15
2024-01-02 17:30:00,12.047350000000002,1,0,0,17,30
2024-01-02 17:45:00,11.282675000000001,1,0,0,17,45
2024-01-02 18:00:00,10.518,1,0,0,18,0
2024-01-02 18:15:00,10.318575000000001,1,0,0,18,15
2024-01-02 18:30:00,10.119150000000001,1,0,0,18,30
2024-01-02 18:45:00,9.919725000000001,1,0,0,18,45
2024-01-02 19:00:00,9.720300000000002,1,0,0,19,0
2024-01-02 19:15:00,9.463425,1,0,0,19,15
2024-01-02 19:30:00,9.20655,1,0,0,19,30
2024-01-02 19:45:00,8.949675000000001,1,0,0,19,45
2024-01-02 20:00:00,8.6928,1,0,0,20,0
2024-01-02 20:15:00,8.4971,1,0,0,20,15
2024-01-02 20:30:00,8.301400000000001,1,0,0,20,30
2024-01-02 20:45:00,8.105700000000002,1,0,0,20,45
2024-01-02 21:00:00,7.910000000000002,1,0,0,21,0
2024-01-02 21:15:00,7.745475000000002,1,0,0,21,15
2024-01-02 21:30:00,7.580950000000001,1,0,0,21,30
2024-01-02 21:45:00,7.416425,1,0,0,21,45
2024-01-02 22:00:00,7.2519,1,0,0,22,0
2024-01-02 22:15:00,7.1873000000000005,1,0,0,22,15
2024-01-02 22:30:00,7.1227,1,0,0,22,30
2024-01-02 22:45:00,7.0581000000000005,1,0,0,22,45
2024-01-02 23:00:00,6.993500000000001,1,0,0,23,0
2024-01-02 23:15:00,6.902900000000001,1,0,0,23,15
2024-01-02 23:30:00,6.8123000000000005,1,0,0,23,30
2024-01-02 23:45:00,6.7217,1,0,0,23,45
2024-01-03 00:00:00,6.6311,1,0,0,0,0
2024-01-03 00:15:00,6.53395,1,0,0,0,15
2024-01-03 00:30:00,6.4368,1,0,0,0,30
2024-01-03 00:45:00,6.33965,1,0,0,0,45
2024-01-03 01:00:00,6.2425,1,0,0,1,0
2024-01-03 01:15:00,6.07745,1,0,0,1,15
2024-01-03 01:30:00,5.9124,1,0,0,1,30
2024-01-03 01:45:00,5.74735,1,0,0,1,45
2024-01-03 02:00:00,5.5823,1,0,0,2,0
2024-01-03 02:15:00,5.56585,1,0,0,2,15
2024-01-03 02:30:00,5.5494,1,0,0,2,30
2024-01-03 02:45:00,5.53295,1,0,0,2,45
2024-01-03 03:00:00,5.5165,1,0,0,3,0
2024-01-03 03:15:00,5.5676749999999995,1,0,0,3,15
2024-01-03 03:30:00,5.61885,1,0,0,3,30
2024-01-03 03:45:00,5.670025,1,0,0,3,45
2024-01-03 04:00:00,5.7212,1,0,0,4,0
2024-01-03 04:15:00,5.73395,1,0,0,4,15
2024-01-03 04:30:00,5.7467,1,0,0,4,30
2024-01-03 04:45:00,5.759449999999999,1,0,0,4,45
2024-01-03 05:00:00,5.7722,1,0,0,5,0
2024-01-03 05:15:00,6.079125,1,0,0,5,15
2024-01-03 05:30:00,6.386050000000001,1,0,0,5,30
2024-01-03 05:45:00,6.692975000000001,1,0,0,5,45
2024-01-03 06:00:00,6.999900000000001,1,0,0,6,0
2024-01-03 06:15:00,7.171750000000001,1,0,0,6,15
2024-01-03 06:30:00,7.3436,1,0,0,6,30
2024-01-03 06:45:00,7.5154499999999995,1,0,0,6,45
2024-01-03 07:00:00,7.6873,1,0,0,7,0
2024-01-03 07:15:00,8.0173,1,0,0,7,15
2024-01-03 07:30:00,8.3473,1,0,0,7,30
2024-01-03 07:45:00,8.6773,1,0,0,7,45
2024-01-03 08:00:00,9.0073,1,0,0,8,0
2024-01-03 08:15:00,9.53635,1,0,0,8,15
