State,Date,Hourly Demand Met (in MW),,,,
Madhya Pradesh - 2024,05-Jan 1am,9596.58,,,,
Madhya Pradesh - 2024,05-Jan 2am,9154.22,,,,
Madhya Pradesh - 2024,05-Jan 3am,9240.97,,,,
Madhya Pradesh - 2024,05-Jan 4am,9348.65,,,,
Madhya Pradesh - 2024,05-Jan 5am,9632.24,,,,
Madhya Pradesh - 2024,05-Jan 6am,10706.67,,,,
Madhya Pradesh - 2024,05-Jan 7am,12872.86,,,,
Madhya Pradesh - 2024,05-Jan 8am,14410.17,,,,
Madhya Pradesh - 2024,05-Jan 9am,15441.37,,,,
Madhya Pradesh - 2024,05-Jan 10am,15877.16,,,,
Madhya Pradesh - 2024,05-Jan 11am,15361.45,,,,
Madhya Pradesh - 2024,05-Jan 12pm,15009.69,,,,
Madhya Pradesh - 2024,05-Jan 1pm,14777.08,,,,
Madhya Pradesh - 2024,05-Jan 2pm,14515.26,,,,
Madhya Pradesh - 2024,05-Jan 3pm,14341.93,,,,
Madhya Pradesh - 2024,05-Jan 4pm,13973.93,,,,
Madhya Pradesh - 2024,05-Jan 5pm,13583.21,,,,
Madhya Pradesh - 2024,05-Jan 6pm,12962.13,,,,
Madhya Pradesh - 2024,05-Jan 7pm,12039.21,,,,
Madhya Pradesh - 2024,05-Jan 8pm,10656.97,,,,
Madhya Pradesh - 2024,05-Jan 9pm,9658.36,,,,
Madhya Pradesh - 2024,05-Jan 10pm,9379.88,,,,
Madhya Pradesh - 2024,05-Jan 11pm,9272.14,,,,
Madhya Pradesh - 2024,06-Jan 12am,8720.26,,,,
Madhya Pradesh - 2024,06-Jan 1am,8260.52,,,,
Madhya Pradesh - 2024,06-Jan 2am,7922.77,,,,
Madhya Pradesh - 2024,06-Jan 3am,7908.9,,,,
Madhya Pradesh - 2024,06-Jan 4am,7976.32,,,,
Madhya Pradesh - 2024,06-Jan 5am,8339.5,,,,
Madhya Pradesh - 2024,06-Jan 6am,9546.54,,,,
Madhya Pradesh - 2024,06-Jan 7am,11621.49,,,,
Madhya Pradesh - 2024,06-Jan 8am,13062.71,,,,
Madhya Pradesh - 2024,06-Jan 9am,14172.36,,,,
Madhya Pradesh - 2024,06-Jan 10am,14559.93,,,,
Madhya Pradesh - 2024,06-Jan 11am,14119.36,,,,
Madhya Pradesh - 2024,06-Jan 12pm,13681.2,,,,
Madhya Pradesh - 2024,06-Jan 1pm,13590.28,,,,
Madhya Pradesh - 2024,06-Jan 2pm,13482.17,,,,
Madhya Pradesh - 2024,06-Jan 3pm,13464.04,,,,
Madhya Pradesh - 2024,06-Jan 4pm,13347.2,,,,
Madhya Pradesh - 2024,06-Jan 5pm,13052.91,,,,
Madhya Pradesh - 2024,06-Jan 6pm,12939.71,,,,
Madhya Pradesh - 2024,06-Jan 7pm,12046.62,,,,
Madhya Pradesh - 2024,06-Jan 8pm,10753.21,,,,
Madhya Pradesh - 2024,06-Jan 9pm,9768,,,,
Madhya Pradesh - 2024,06-Jan 10pm,9671.45,,,,
Madhya Pradesh - 2024,06-Jan 11pm,9612.91,,,,
Madhya Pradesh - 2024,07-Jan 12am,9226.8,,,,
Madhya Pradesh - 2024,07-Jan 1am,8792.72,,,,
Madhya Pradesh - 2024,07-Jan 2am,8460.04,,,,
Madhya Pradesh - 2024,07-Jan 3am,8503.08,,,,
Madhya Pradesh - 2024,07-Jan 4am,8579.41,,,,
Madhya Pradesh - 2024,07-Jan 5am,8927.04,,,,
Madhya Pradesh - 2024,07-Jan 6am,9935.82,,,,
Madhya Pradesh - 2024,07-Jan 7am,11846.38,,,,
Madhya Pradesh - 2024,07-Jan 8am,13415.08,,,,
Madhya Pradesh - 2024,07-Jan 9am,14467.25,,,,
Madhya Pradesh - 2024,07-Jan 10am,14851.31,,,,
Madhya Pradesh - 2024,07-Jan 11am,14414.97,,,,
Madhya Pradesh - 2024,07-Jan 12pm,13854.96,,,,
Madhya Pradesh - 2024,07-Jan 1pm,13589.37,,,,
Madhya Pradesh - 2024,07-Jan 2pm,13172.17,,,,
Madhya Pradesh - 2024,07-Jan 3pm,13072.4,,,,
Madhya Pradesh - 2024,07-Jan 4pm,12988.94,,,,
Madhya Pradesh - 2024,07-Jan 5pm,12683.58,,,,
Madhya Pradesh - 2024,07-Jan 6pm,12377.82,,,,
Madhya Pradesh - 2024,07-Jan 7pm,11670.64,,,,
Madhya Pradesh - 2024,07-Jan 8pm,10516.35,,,,
Madhya Pradesh - 2024,07-Jan 9pm,9661.53,,,,
Madhya Pradesh - 2024,07-Jan 10pm,9375.07,,,,
Madhya Pradesh - 2024,07-Jan 11pm,9130.73,,,,
Madhya Pradesh - 2024,08-Jan 12am,8709.83,,,,
Madhya Pradesh - 2024,08-Jan 1am,8372.38,,,,
Madhya Pradesh - 2024,08-Jan 2am,8092.54,,,,
Madhya Pradesh - 2024,08-Jan 3am,8104.2,,,,
Madhya Pradesh - 2024,08-Jan 4am,8299.94,,,,
Madhya Pradesh - 2024,08-Jan 5am,8772.69,,,,
Madhya Pradesh - 2024,08-Jan 6am,10120.79,,,,
Madhya Pradesh - 2024,08-Jan 7am,12301.75,,,,
Madhya Pradesh - 2024,08-Jan 8am,13768.48,,,,
Madhya Pradesh - 2024,08-Jan 9am,14677.57,,,,
Madhya Pradesh - 2024,08-Jan 10am,14739.56,,,,
Madhya Pradesh - 2024,08-Jan 11am,14385.55,,,,
Madhya Pradesh - 2024,08-Jan 12pm,13975.83,,,,
Madhya Pradesh - 2024,08-Jan 1pm,13715.61,,,,
Madhya Pradesh - 2024,08-Jan 2pm,13276.29,,,,
Madhya Pradesh - 2024,08-Jan 3pm,13231.39,,,,
Madhya Pradesh - 2024,08-Jan 4pm,13346.94,,,,
Madhya Pradesh - 2024,08-Jan 5pm,13149.27,,,,
Madhya Pradesh - 2024,08-Jan 6pm,12906.32,,,,
Madhya Pradesh - 2024,08-Jan 7pm,12161.7,,,,
Madhya Pradesh - 2024,08-Jan 8pm,10924.57,,,,
Madhya Pradesh - 2024,08-Jan 9pm,10030.98,,,,
Madhya Pradesh - 2024,08-Jan 10pm,9844.36,,,,
Madhya Pradesh - 2024,08-Jan 11pm,9703.57,,,,
Madhya Pradesh - 2024,09-Jan 12am,9317.99,,,,
Madhya Pradesh - 2024,09-Jan 1am,8882.99,,,,
Madhya Pradesh - 2024,09-Jan 2am,8486.5,,,,
Madhya Pradesh - 2024,09-Jan 3am,8485.67,,,,
Madhya Pradesh - 2024,09-Jan 4am,8451.73,,,,
Madhya Pradesh - 2024,09-Jan 5am,8643.97,,,,
Madhya Pradesh - 2024,09-Jan 6am,9872.29,,,,
Madhya Pradesh - 2024,09-Jan 7am,12113.61,,,,
Madhya Pradesh - 2024,09-Jan 8am,13447.96,,,,
Madhya Pradesh - 2024,09-Jan 9am,14101.83,,,,
Madhya Pradesh - 2024,09-Jan 10am,14189.72,,,,
Madhya Pradesh - 2024,09-Jan 11am,13792.83,,,,
Madhya Pradesh - 2024,09-Jan 12pm,13529.52,,,,
Madhya Pradesh - 2024,09-Jan 1pm,13484.23,,,,
Madhya Pradesh - 2024,09-Jan 2pm,13271.92,,,,
Madhya Pradesh - 2024,09-Jan 3pm,13341.43,,,,
Madhya Pradesh - 2024,09-Jan 4pm,13398.73,,,,
Madhya Pradesh - 2024,09-Jan 5pm,13176.96,,,,
Madhya Pradesh - 2024,09-Jan 6pm,12891.63,,,,
Madhya Pradesh - 2024,09-Jan 7pm,12130.52,,,,
Madhya Pradesh - 2024,09-Jan 8pm,10795.98,,,,
Madhya Pradesh - 2024,09-Jan 9pm,9801.8,,,,
Madhya Pradesh - 2024,09-Jan 10pm,9631.65,,,,
Madhya Pradesh - 2024,09-Jan 11pm,9563.01,,,,
Madhya Pradesh - 2024,10-Jan 12am,9126.52,,,,
Madhya Pradesh - 2024,10-Jan 1am,8754.92,,,,
Madhya Pradesh - 2024,10-Jan 2am,8440.04,,,,
Madhya Pradesh - 2024,10-Jan 3am,8483.3,,,,
Madhya Pradesh - 2024,10-Jan 4am,8673.99,,,,
Madhya Pradesh - 2024,10-Jan 5am,9033.15,,,,
Madhya Pradesh - 2024,10-Jan 6am,10312.85,,,,
Madhya Pradesh - 2024,10-Jan 7am,12598.67,,,,
Madhya Pradesh - 2024,10-Jan 8am,14074.87,,,,
Madhya Pradesh - 2024,10-Jan 9am,14916.45,,,,
Madhya Pradesh - 2024,10-Jan 10am,15112.46,,,,
Madhya Pradesh - 2024,10-Jan 11am,14698.89,,,,
Madhya Pradesh - 2024,10-Jan 12pm,14005.68,,,,
Madhya Pradesh - 2024,10-Jan 1pm,13714.71,,,,
Madhya Pradesh - 2024,10-Jan 2pm,13445.82,,,,
Madhya Pradesh - 2024,10-Jan 3pm,13435.48,,,,
Madhya Pradesh - 2024,10-Jan 4pm,13348.04,,,,
Madhya Pradesh - 2024,10-Jan 5pm,13213.3,,,,
Madhya Pradesh - 2024,10-Jan 6pm,13124.75,,,,
Madhya Pradesh - 2024,10-Jan 7pm,12350.57,,,,
Madhya Pradesh - 2024,10-Jan 8pm,11080.95,,,,
Madhya Pradesh - 2024,10-Jan 9pm,10093.2,,,,
Madhya Pradesh - 2024,10-Jan 10pm,9815.48,,,,
Madhya Pradesh - 2024,10-Jan 11pm,9710.03,,,,
Madhya Pradesh - 2024,11-Jan 12am,9233.49,,,,
Madhya Pradesh - 2024,11-Jan 1am,8760.97,,,,
Madhya Pradesh - 2024,11-Jan 2am,8365.94,,,,
Madhya Pradesh - 2024,11-Jan 3am,8343.82,,,,
Madhya Pradesh - 2024,11-Jan 4am,8482.38,,,,
Madhya Pradesh - 2024,11-Jan 5am,8953.21,,,,
Madhya Pradesh - 2024,11-Jan 6am,10196.91,,,,
Madhya Pradesh - 2024,11-Jan 7am,12368.15,,,,
Madhya Pradesh - 2024,11-Jan 8am,13952.1,,,,
Madhya Pradesh - 2024,11-Jan 9am,14830.49,,,,
Madhya Pradesh - 2024,11-Jan 10am,14970.09,,,,
Madhya Pradesh - 2024,11-Jan 11am,14488.95,,,,
Madhya Pradesh - 2024,11-Jan 12pm,14040.26,,,,
Madhya Pradesh - 2024,11-Jan 1pm,13830.3,,,,
Madhya Pradesh - 2024,11-Jan 2pm,13453.27,,,,
Madhya Pradesh - 2024,11-Jan 3pm,13569.59,,,,
Madhya Pradesh - 2024,11-Jan 4pm,13544.44,,,,
Madhya Pradesh - 2024,11-Jan 5pm,13189.29,,,,
Madhya Pradesh - 2024,11-Jan 6pm,13008.66,,,,
Madhya Pradesh - 2024,11-Jan 7pm,12449.53,,,,
Madhya Pradesh - 2024,11-Jan 8pm,11291.15,,,,
Madhya Pradesh - 2024,11-Jan 9pm,10264.88,,,,
Madhya Pradesh - 2024,11-Jan 10pm,10039.41,,,,
Madhya Pradesh - 2024,11-Jan 11pm,9955.63,,,,
Madhya Pradesh - 2024,12-Jan 12am,9523.44,,,,
Madhya Pradesh - 2024,12-Jan 1am,9169.41,,,,
Madhya Pradesh - 2024,12-Jan 2am,8766.46,,,,
Madhya Pradesh - 2024,12-Jan 3am,8622.36,,,,
Madhya Pradesh - 2024,12-Jan 4am,8757.49,,,,
Madhya Pradesh - 2024,12-Jan 5am,9209.96,,,,
Madhya Pradesh - 2024,12-Jan 6am,10428.35,,,,
Madhya Pradesh - 2024,12-Jan 7am,12690.55,,,,
Madhya Pradesh - 2024,12-Jan 8am,14267.41,,,,
Madhya Pradesh - 2024,12-Jan 9am,14991.39,,,,
Madhya Pradesh - 2024,12-Jan 10am,15361.28,,,,
Madhya Pradesh - 2024,12-Jan 11am,15104.76,,,,
Madhya Pradesh - 2024,12-Jan 12pm,14801.34,,,,
Madhya Pradesh - 2024,12-Jan 1pm,14518.28,,,,
Madhya Pradesh - 2024,12-Jan 2pm,14161.83,,,,
Madhya Pradesh - 2024,12-Jan 3pm,14210.54,,,,
Madhya Pradesh - 2024,12-Jan 4pm,13928.82,,,,
Madhya Pradesh - 2024,12-Jan 5pm,13408.02,,,,
Madhya Pradesh - 2024,12-Jan 6pm,13222.59,,,,
Madhya Pradesh - 2024,12-Jan 7pm,12533.61,,,,
Madhya Pradesh - 2024,12-Jan 8pm,11344.27,,,,
Madhya Pradesh - 2024,12-Jan 9pm,10399.61,,,,
Madhya Pradesh - 2024,12-Jan 10pm,10258.09,,,,
Madhya Pradesh - 2024,12-Jan 11pm,10280.79,,,,
Madhya Pradesh - 2024,13-Jan 12am,9749.33,,,,
Madhya Pradesh - 2024,13-Jan 1am,9307.22,,,,
Madhya Pradesh - 2024,13-Jan 2am,8936.8,,,,
Madhya Pradesh - 2024,13-Jan 3am,9018.18,,,,
Madhya Pradesh - 2024,13-Jan 4am,9180.21,,,,
Madhya Pradesh - 2024,13-Jan 5am,9562.42,,,,
Madhya Pradesh - 2024,13-Jan 6am,10866.74,,,,
Madhya Pradesh - 2024,13-Jan 7am,13223.45,,,,
Madhya Pradesh - 2024,13-Jan 8am,14886.32,,,,
Madhya Pradesh - 2024,13-Jan 9am,15763.48,,,,
Madhya Pradesh - 2024,13-Jan 10am,15879.36,,,,
Madhya Pradesh - 2024,13-Jan 11am,15397.81,,,,
Madhya Pradesh - 2024,13-Jan 12pm,14998.99,,,,
Madhya Pradesh - 2024,13-Jan 1pm,14755,,,,
Madhya Pradesh - 2024,13-Jan 2pm,14438.73,,,,
Madhya Pradesh - 2024,13-Jan 3pm,14513.69,,,,
Madhya Pradesh - 2024,13-Jan 4pm,14359.22,,,,
Madhya Pradesh - 2024,13-Jan 5pm,13620.95,,,,
Madhya Pradesh - 2024,13-Jan 6pm,13369.22,,,,
Madhya Pradesh - 2024,13-Jan 7pm,12736.64,,,,
Madhya Pradesh - 2024,13-Jan 8pm,11369.89,,,,
Madhya Pradesh - 2024,13-Jan 9pm,10535.37,,,,
Madhya Pradesh - 2024,13-Jan 10pm,10558.87,,,,
Madhya Pradesh - 2024,13-Jan 11pm,10703.97,,,,
Madhya Pradesh - 2024,14-Jan 12am,10317.56,,,,
Madhya Pradesh - 2024,14-Jan 1am,9835.21,,,,
Madhya Pradesh - 2024,14-Jan 2am,9377.69,,,,
Madhya Pradesh - 2024,14-Jan 3am,9547.66,,,,
Madhya Pradesh - 2024,14-Jan 4am,9755.69,,,,
Madhya Pradesh - 2024,14-Jan 5am,10103.41,,,,
Madhya Pradesh - 2024,14-Jan 6am,11222.15,,,,
Madhya Pradesh - 2024,14-Jan 7am,13135.48,,,,
Madhya Pradesh - 2024,14-Jan 8am,14720.93,,,,
Madhya Pradesh - 2024,14-Jan 9am,15666.49,,,,
Madhya Pradesh - 2024,14-Jan 10am,16171.8,,,,
Madhya Pradesh - 2024,14-Jan 11am,16011.67,,,,
Madhya Pradesh - 2024,14-Jan 12pm,15599.17,,,,
Madhya Pradesh - 2024,14-Jan 1pm,15293.26,,,,
Madhya Pradesh - 2024,14-Jan 2pm,14915.18,,,,
Madhya Pradesh - 2024,14-Jan 3pm,14755.44,,,,
Madhya Pradesh - 2024,14-Jan 4pm,14329.15,,,,
Madhya Pradesh - 2024,14-Jan 5pm,13734.41,,,,
Madhya Pradesh - 2024,14-Jan 6pm,13259.55,,,,
Madhya Pradesh - 2024,14-Jan 7pm,12558.02,,,,
Madhya Pradesh - 2024,14-Jan 8pm,11414.16,,,,
Madhya Pradesh - 2024,14-Jan 9pm,10611.23,,,,
Madhya Pradesh - 2024,14-Jan 10pm,10594.76,,,,
Madhya Pradesh - 2024,14-Jan 11pm,10604.31,,,,
Madhya Pradesh - 2024,15-Jan 12am,10191.85,,,,
Madhya Pradesh - 2024,15-Jan 1am,9704.85,,,,
Madhya Pradesh - 2024,15-Jan 2am,9189.15,,,,
Madhya Pradesh - 2024,15-Jan 3am,9347.58,,,,
Madhya Pradesh - 2024,15-Jan 4am,9506.51,,,,
Madhya Pradesh - 2024,15-Jan 5am,10035.17,,,,
Madhya Pradesh - 2024,15-Jan 6am,11248.17,,,,
Madhya Pradesh - 2024,15-Jan 7am,13505.91,,,,
Madhya Pradesh - 2024,15-Jan 8am,15319.03,,,,
Madhya Pradesh - 2024,15-Jan 9am,16260.03,,,,
Madhya Pradesh - 2024,15-Jan 10am,16428.98,,,,
Madhya Pradesh - 2024,15-Jan 11am,15951.77,,,,
Madhya Pradesh - 2024,15-Jan 12pm,15337.61,,,,
Madhya Pradesh - 2024,15-Jan 1pm,15119.06,,,,
Madhya Pradesh - 2024,15-Jan 2pm,14854.24,,,,
Madhya Pradesh - 2024,15-Jan 3pm,14781.88,,,,
Madhya Pradesh - 2024,15-Jan 4pm,14375.87,,,,
Madhya Pradesh - 2024,15-Jan 5pm,13662.91,,,,
Madhya Pradesh - 2024,15-Jan 6pm,13231.73,,,,
Madhya Pradesh - 2024,15-Jan 7pm,12636.2,,,,
Madhya Pradesh - 2024,15-Jan 8pm,11202.63,,,,
Madhya Pradesh - 2024,15-Jan 9pm,10407.17,,,,
Madhya Pradesh - 2024,15-Jan 10pm,10532.48,,,,
Madhya Pradesh - 2024,15-Jan 11pm,10727.27,,,,
Madhya Pradesh - 2024,16-Jan 12am,10213.95,,,,
