timestamp,demand_mw,source
2026-02-07 21:15:00,10781.3575,import
2026-02-07 21:30:00,10679.135,import
2026-02-07 21:45:00,10576.9125,import
2026-02-07 22:00:00,10474.69,import
2026-02-07 22:15:00,10726.4425,import
2026-02-07 22:30:00,10978.195,import
2026-02-07 22:45:00,11229.9475,import
2026-02-07 23:00:00,11481.7,import
2026-02-07 23:15:00,11322.295,import
2026-02-07 23:30:00,11162.89,import
2026-02-07 23:45:00,11003.485,import
2026-02-08 00:00:00,10844.08,import
2026-02-08 00:15:00,10831.8675,import
2026-02-08 00:30:00,10819.655,import
2026-02-08 00:45:00,10807.4425,import
2026-02-08 01:00:00,10795.23,import
2026-02-08 01:15:00,10751.33,import
2026-02-08 01:30:00,10707.43,import
2026-02-08 01:45:00,10663.53,import
2026-02-08 02:00:00,10619.63,import
2026-02-08 02:15:00,10723.0275,import
2026-02-08 02:30:00,10826.425,import
2026-02-08 02:45:00,10929.822499999998,import
2026-02-08 03:00:00,11033.22,import
2026-02-08 03:15:00,11065.2125,import
2026-02-08 03:30:00,11097.205,import
2026-02-08 03:45:00,11129.1975,import
2026-02-08 04:00:00,11161.19,import
2026-02-08 04:15:00,11066.68,import
2026-02-08 04:30:00,10972.17,import
2026-02-08 04:45:00,10877.66,import
2026-02-08 05:00:00,10783.15,import
2026-02-08 05:15:00,10849.31,import
2026-02-08 05:30:00,10915.47,import
2026-02-08 05:45:00,10981.63,import
2026-02-08 06:00:00,11047.79,import
2026-02-08 06:15:00,11950.0675,import
2026-02-08 06:30:00,12852.345,import
2026-02-08 06:45:00,13754.6225,import
2026-02-08 07:00:00,14656.9,import
2026-02-08 07:15:00,15163.7175,import
2026-02-08 07:30:00,15670.535,import
2026-02-08 07:45:00,16177.3525,import
2026-02-08 08:00:00,16684.17,import
2026-02-08 08:15:00,16808.9525,import
2026-02-08 08:30:00,16933.735,import
2026-02-08 08:45:00,17058.517499999998,import
2026-02-08 09:00:00,17183.3,import
2026-02-08 09:15:00,17323.28,import
2026-02-08 09:30:00,17463.260000000002,import
2026-02-08 09:45:00,17603.24,import
2026-02-08 10:00:00,17743.22,import
2026-02-08 10:15:00,17797.9575,import
2026-02-08 10:30:00,17852.695,import
2026-02-08 10:45:00,17907.4325,import
2026-02-08 11:00:00,17962.17,import
2026-02-08 11:15:00,17479.184999999998,import
2026-02-08 11:30:00,16996.199999999997,import
2026-02-08 11:45:00,16513.215,import
2026-02-08 12:00:00,16030.23,import
2026-02-08 12:15:00,16241.5225,import
2026-02-08 12:30:00,16452.815000000002,import
2026-02-08 12:45:00,16664.107500000002,import
2026-02-08 13:00:00,16875.4,import
2026-02-08 13:15:00,16738.9775,import
2026-02-08 13:30:00,16602.555,import
2026-02-08 13:45:00,16466.1325,import
2026-02-08 14:00:00,16329.71,import
2026-02-08 14:15:00,16263.3425,import
2026-02-08 14:30:00,16196.975,import
2026-02-08 14:45:00,16130.6075,import
2026-02-08 15:00:00,16064.24,import
2026-02-08 15:15:00,15745.955,import
2026-02-08 15:30:00,15427.67,import
2026-02-08 15:45:00,15109.385,import
2026-02-08 16:00:00,14791.1,import
2026-02-08 16:15:00,14796.3225,import
2026-02-08 16:30:00,14801.545,import
2026-02-08 16:45:00,14806.7675,import
2026-02-08 17:00:00,14811.99,import
2026-02-08 17:15:00,14426.84,import
2026-02-08 17:30:00,14041.69,import
2026-02-08 17:45:00,13656.54,import
2026-02-08 18:00:00,13271.39,import
2026-02-08 18:15:00,13141.0275,import
2026-02-08 18:30:00,13010.665,import
2026-02-08 18:45:00,12880.3025,import
2026-02-08 19:00:00,12749.94,import
2026-02-08 19:15:00,12504.66,import
2026-02-08 19:30:00,12259.38,import
2026-02-08 19:45:00,12014.1,import
2026-02-08 20:00:00,11768.82,import
2026-02-08 20:15:00,11534.5425,import
